,piece,current_position,next_position,skip,reward
0,"(255, 255, 255)","(2, 5)","(3, 6)",-,0
1,"(255, 255, 255)","(2, 3)","(3, 2)",-,0
2,"(255, 255, 255)","(3, 6)","(5, 4)","[(255, 0, 0)]",40
3,"(255, 255, 255)","(2, 1)","(3, 0)",-,0
4,"(255, 255, 255)","(1, 0)","(2, 1)",-,0
5,"(255, 255, 255)","(5, 4)","(7, 6)","[(255, 0, 0)]",44
6,"(255, 255, 255)","(1, 4)","(2, 3)",-,0
7,"(255, 255, 255)","(7, 6)","(6, 5)",-,0
8,"(255, 255, 255)","(0, 1)","(1, 0)",-,0
9,"(255, 255, 255)","(0, 5)","(1, 4)",-,0
10,"(255, 255, 255)","(2, 7)","(3, 6)",-,0
11,"(255, 255, 255)","(1, 6)","(2, 7)",-,0
12,"(255, 255, 255)","(3, 2)","(5, 4)","[(255, 0, 0)]",40
13,"(255, 255, 255)","(5, 4)","(6, 3)",-,0
14,"(255, 255, 255)","(2, 1)","(3, 2)",-,0
15,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
16,"(255, 255, 255)","(6, 5)","(5, 4)",-,0
17,"(255, 255, 255)","(3, 2)","(4, 3)",-,0
18,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
19,"(255, 255, 255)","(1, 2)","(2, 1)",-,0
20,"(255, 255, 255)","(0, 7)","(1, 6)",-,0
21,"(255, 255, 255)","(3, 6)","(4, 5)",-,0
22,"(255, 255, 255)","(2, 3)","(3, 2)",-,0
23,"(255, 255, 255)","(0, 3)","(1, 2)",-,0
24,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
25,"(255, 255, 255)","(4, 5)","(6, 7)","[(255, 0, 0)]",40
26,"(255, 255, 255)","(2, 7)","(4, 5)","[(255, 0, 0)]",40
27,"(255, 255, 255)","(1, 4)","(2, 3)",-,0
28,"(255, 255, 255)","(3, 2)","(5, 4)","[(255, 0, 0)]",40
29,"(255, 255, 255)","(6, 7)","(7, 6)",-,4
30,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
31,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
32,"(255, 255, 255)","(2, 3)","(3, 4)",-,0
33,"(255, 255, 255)","(4, 5)","(5, 6)",-,0
34,"(255, 255, 255)","(3, 0)","(5, 2)","[(255, 0, 0)]",40
35,"(255, 255, 255)","(2, 1)","(3, 0)",-,0
36,"(255, 255, 255)","(3, 4)","(4, 5)",-,0
37,"(255, 255, 255)","(7, 6)","(6, 7)",-,0
38,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
39,"(255, 255, 255)","(6, 5)","(7, 6)",-,4
40,"(255, 255, 255)","(1, 2)","(3, 4)","[(255, 0, 0)]",40
41,"(255, 255, 255)","(6, 3)","(7, 4)",-,4
42,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
43,"(255, 255, 255)","(3, 4)","(4, 5)",-,0
44,"(255, 255, 255)","(3, 0)","(4, 1)",-,0
45,"(255, 255, 255)","(4, 5)","(5, 4)",-,0
46,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
47,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
48,"(255, 255, 255)","(5, 2)","(6, 1)",-,0
49,"(255, 255, 255)","(4, 1)","(5, 2)",-,0
50,"(255, 255, 255)","(5, 6)","(6, 5)",-,0
51,"(255, 255, 255)","(6, 3)","(7, 4)",-,4
52,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
53,"(255, 255, 255)","(1, 0)","(2, 1)",-,0
54,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
55,"(255, 255, 255)","(2, 1)","(3, 0)",-,0
56,"(255, 255, 255)","(3, 0)","(4, 1)",-,0
57,"(255, 255, 255)","(4, 1)","(5, 2)",-,0
58,"(255, 255, 255)","(7, 2)","(6, 1)",-,0
59,"(255, 255, 255)","(6, 7)","(5, 6)",-,0
60,"(255, 255, 255)","(5, 6)","(4, 7)",-,0
61,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
62,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
63,"(255, 255, 255)","(7, 6)","(6, 7)",-,0
64,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
65,"(255, 255, 255)","(6, 5)","(5, 6)",-,0
66,"(255, 255, 255)","(5, 6)","(4, 5)",-,0
67,"(255, 255, 255)","(4, 7)","(5, 6)",-,0
68,"(255, 255, 255)","(6, 7)","(7, 6)",-,4
69,"(255, 255, 255)","(5, 2)","(6, 1)",-,0
70,"(255, 255, 255)","(7, 6)","(6, 5)",-,0
71,"(255, 255, 255)","(6, 1)","(7, 0)",-,4
72,"(255, 255, 255)","(6, 5)","(7, 6)",-,4
73,"(255, 255, 255)","(5, 6)","(6, 5)",-,0
74,"(255, 255, 255)","(7, 0)","(6, 1)",-,0
75,"(255, 255, 255)","(6, 1)","(7, 0)",-,4
76,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
77,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
78,"(255, 255, 255)","(4, 5)","(3, 6)",-,0
79,"(255, 255, 255)","(7, 6)","(6, 7)",-,0
80,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
81,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
82,"(255, 255, 255)","(6, 3)","(5, 2)",-,0
83,"(255, 255, 255)","(5, 2)","(4, 3)",-,0
84,"(255, 255, 255)","(3, 6)","(4, 5)",-,0
85,"(255, 255, 255)","(4, 5)","(5, 6)",-,0
86,"(255, 255, 255)","(6, 5)","(7, 6)",-,4
87,"(255, 255, 255)","(4, 3)","(2, 5)","[(255, 0, 0)]",40
88,"(255, 255, 255)","(2, 5)","(1, 6)",-,0
89,"(255, 255, 255)","(7, 6)","(6, 5)",-,0
90,"(255, 255, 255)","(7, 2)","(6, 1)",-,0
91,"(255, 255, 255)","(6, 1)","(5, 0)",-,0
92,"(255, 255, 255)","(7, 0)","(6, 1)",-,0
93,"(255, 255, 255)","(1, 6)","(0, 7)",-,4
94,"(255, 255, 255)","(6, 7)","(7, 6)",-,4
95,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
96,"(255, 255, 255)","(5, 6)","(6, 7)",-,0
97,"(255, 255, 255)","(7, 2)","(6, 1)",-,0
98,"(255, 255, 255)","(6, 1)","(5, 2)",-,0
99,"(255, 255, 255)","(5, 0)","(4, 1)",-,0
100,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
101,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
102,"(255, 255, 255)","(0, 7)","(1, 6)",-,0
103,"(255, 255, 255)","(5, 2)","(4, 3)",-,0
104,"(255, 255, 255)","(4, 3)","(3, 4)",-,0
105,"(255, 255, 255)","(1, 6)","(2, 5)",-,0
106,"(255, 255, 255)","(3, 4)","(4, 5)",-,0
107,"(255, 255, 255)","(2, 5)","(1, 4)",-,0
108,"(255, 255, 255)","(4, 5)","(3, 4)",-,0
109,"(255, 255, 255)","(3, 4)","(2, 3)",-,0
110,"(255, 255, 255)","(2, 3)","(1, 2)",-,0
111,"(255, 255, 255)","(1, 2)","(2, 1)",-,0
112,"(255, 255, 255)","(2, 1)","(1, 0)",-,0
113,"(255, 255, 255)","(4, 1)","(3, 0)",-,0
114,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
115,"(255, 255, 255)","(6, 3)","(5, 2)",-,0
116,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
117,"(255, 255, 255)","(5, 2)","(4, 3)",-,0
118,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
119,"(255, 255, 255)","(4, 3)","(2, 5)","[(255, 0, 0)]",40
120,"(255, 255, 255)","(3, 0)","(4, 1)",-,0
121,"(255, 255, 255)","(6, 7)","(5, 6)",-,0
122,"(255, 255, 255)","(2, 5)","(1, 6)",-,0
123,"(255, 255, 255)","(4, 1)","(3, 2)",-,0
