,piece,current_position,next_position,skip,reward
101,"(255, 0, 0)","(2, 3)","(3, 4)",-,0
102,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
103,"(255, 0, 0)","(4, 3)","(3, 4)",-,0
104,"(255, 0, 0)","(3, 4)","(4, 5)",-,0
105,"(255, 0, 0)","(4, 5)","(5, 6)",-,0
106,"(255, 0, 0)","(2, 3)","(3, 2)",-,0
107,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
108,"(255, 0, 0)","(5, 6)","(4, 7)",-,0
109,"(255, 0, 0)","(3, 2)","(4, 3)",-,0
110,"(255, 0, 0)","(4, 3)","(3, 2)",-,0
111,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
112,"(255, 0, 0)","(3, 6)","(2, 7)",-,0
113,"(255, 0, 0)","(3, 2)","(2, 1)",-,0
114,"(255, 0, 0)","(0, 5)","(2, 3)","[(255, 255, 255)]",40
115,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
116,"(255, 0, 0)","(2, 7)","(1, 6)",-,0
117,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
118,"(255, 0, 0)","(1, 6)","(2, 7)",-,0
119,"(255, 0, 0)","(2, 3)","(3, 4)",-,0
120,"(255, 0, 0)","(2, 7)","(1, 6)",-,0
121,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
122,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
123,"(255, 0, 0)","(0, 1)","(1, 2)",-,0
124,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
125,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
126,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
127,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
128,"(255, 0, 0)","(0, 1)","(2, 3)","[(255, 255, 255)]",40
129,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
130,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
131,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
132,"(255, 0, 0)","(2, 5)","(3, 6)",-,0
133,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
134,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
135,"(255, 0, 0)","(1, 2)","(2, 3)",-,0
136,"(255, 0, 0)","(2, 3)","(3, 2)",-,0
137,"(255, 0, 0)","(3, 2)","(4, 3)",-,0
138,"(255, 0, 0)","(4, 3)","(3, 2)",-,0
139,"(255, 0, 0)","(3, 2)","(2, 3)",-,0
140,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
141,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
142,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
143,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
144,"(255, 0, 0)","(0, 1)","(1, 2)",-,0
